brand,volume,official_laplacian,official_brisque,official_w,official_h
Estee_Lauder,7,979.11564453125,98.4237,640,640
Estee_Lauder,30,1160.6659619140626,67.875,640,640
Estee_Lauder,50,1266.767783203125,60.7801,640,640
Estee_Lauder,75,1256.887490234375,53.6593,640,640
Estee_Lauder,100,131.128151,123.6557,2000,2000
Estee_Lauder,115,1472.4331982421875,56.9039,640,640
Kiehls,28,1102.0987420511042,127.6142,930,930
Kiehls,50,1388.92759162909,71.0818,930,930
Kiehls,125,534.230750375766,51.1169,930,930
Kiehls,150,813.0480025408759,60.0711,678,678
Jo_Malone,100,922.0295526863807,40.0635,980,1225
Jo_Malone,30,529.11649,95.6687,1000,1000
